Year,Month,Work Type,Value
2011,Nov,Repair and Maintenance - Non Housing R&M,2141
2011,Nov,All Repair and Maintenance,4442
2011,Nov,All Work,12015
2011,Dec,New Housing - Public,432
2011,Dec,New Housing - Private,1638
2011,Dec,Total Housing,2070
2011,Dec,Other New Work - Infrastructure,1642
2011,Dec,Other New Work - Excluding Infrastructure - Public,1307
2011,Dec,Other New Work - Excluding Infrastructure - Private Industrial,316
2011,Dec,Other New Work - Excluding Infrastructure - Private Commercial,2516
2011,Dec,All New Work,7851
2011,Dec,Repair & Maintenance - Housing - Private,735
2011,Dec,Repair & Maintenance - Housing - Public,1575
2011,Dec,Repair & Maintenance - Housing - Total,2310
2011,Dec,Repair and Maintenance - Non Housing R&M,2277
2011,Dec,All Repair and Maintenance,4587
2011,Dec,All Work,12438
2012,"Jan ",New Housing - Public,473
2012,"Jan ",New Housing - Private,1650
2012,"Jan ",Total Housing,2124
2012,"Jan ",Other New Work - Infrastructure,1441
2012,"Jan ",Other New Work - Excluding Infrastructure - Public,1186
2012,"Jan ",Other New Work - Excluding Infrastructure - Private Industrial,345
2012,"Jan ",Other New Work - Excluding Infrastructure - Private Commercial,2303
2012,"Jan ",All New Work,7399
2012,"Jan ",Repair & Maintenance - Housing - Private,723
2012,"Jan ",Repair & Maintenance - Housing - Public,1509
2012,"Jan ",Repair & Maintenance - Housing - Total,2233
2012,"Jan ",Repair and Maintenance - Non Housing R&M,2143
2012,"Jan ",All Repair and Maintenance,4376
2012,"Jan ",All Work,11774
2012,"Feb ",New Housing - Public,419
2012,"Feb ",New Housing - Private,1603
2012,"Feb ",Total Housing,2022
2012,"Feb ",Other New Work - Infrastructure,1307
2012,"Feb ",Other New Work - Excluding Infrastructure - Public,1140
2012,"Feb ",Other New Work - Excluding Infrastructure - Private Industrial,341
2012,"Feb ",Other New Work - Excluding Infrastructure - Private Commercial,2144
2012,"Feb ",All New Work,6954
2012,"Feb ",Repair & Maintenance - Housing - Private,732
2012,"Feb ",Repair & Maintenance - Housing - Public,1542
2012,"Feb ",Repair & Maintenance - Housing - Total,2274
2012,"Feb ",Repair and Maintenance - Non Housing R&M,2189
2012,"Feb ",All Repair and Maintenance,4463
2012,"Feb ",All Work,11417
2012,"Mar ",New Housing - Public,399
2012,"Mar ",New Housing - Private,1689
2012,"Mar ",Total Housing,2088
2012,"Mar ",Other New Work - Infrastructure,1283
2012,"Mar ",Other New Work - Excluding Infrastructure - Public,1144
2012,"Mar ",Other New Work - Excluding Infrastructure - Private Industrial,343
2012,"Mar ",Other New Work - Excluding Infrastructure - Private Commercial,2299
2012,"Mar ",All New Work,7158
2012,"Mar ",Repair & Maintenance - Housing - Private,725
2012,"Mar ",Repair & Maintenance - Housing - Public,1533
2012,"Mar ",Repair & Maintenance - Housing - Total,2259
2012,"Mar ",Repair and Maintenance - Non Housing R&M,2159
2012,"Mar ",All Repair and Maintenance,4417
2012,"Mar ",All Work,11576
2012,Apr,New Housing - Public,409
2012,Apr,New Housing - Private,1561
2012,Apr,Total Housing,1969
2012,Apr,Other New Work - Infrastructure,1281
2012,Apr,Other New Work - Excluding Infrastructure - Public,1136
2012,Apr,Other New Work - Excluding Infrastructure - Private Industrial,350
2012,Apr,Other New Work - Excluding Infrastructure - Private Commercial,2301
2012,Apr,All New Work,7037
2012,Apr,Repair & Maintenance - Housing - Private,724
2012,Apr,Repair & Maintenance - Housing - Public,1498
2012,Apr,Repair & Maintenance - Housing - Total,2222
2012,Apr,Repair and Maintenance - Non Housing R&M,2137
2012,Apr,All Repair and Maintenance,4360
2012,Apr,All Work,11396
2012,May,New Housing - Public,387
2012,May,New Housing - Private,1594
2012,May,Total Housing,1982
2012,May,Other New Work - Infrastructure,1245
2012,May,Other New Work - Excluding Infrastructure - Public,1120
2012,May,Other New Work - Excluding Infrastructure - Private Industrial,365
2012,May,Other New Work - Excluding Infrastructure - Private Commercial,2329
2012,May,All New Work,7041
2012,May,Repair & Maintenance - Housing - Private,776
2012,May,Repair & Maintenance - Housing - Public,1523
2012,May,Repair & Maintenance - Housing - Total,2299
2012,May,Repair and Maintenance - Non Housing R&M,2185
2012,May,All Repair and Maintenance,4484
2012,May,All Work,11524
2012,June,New Housing - Public,347
2012,June,New Housing - Private,1546
2012,June,Total Housing,1893
2012,June,Other New Work - Infrastructure,1275
2012,June,Other New Work - Excluding Infrastructure - Public,1014
2012,June,Other New Work - Excluding Infrastructure - Private Industrial,340
2012,June,Other New Work - Excluding Infrastructure - Private Commercial,2238
2012,June,All New Work,6760
2012,June,Repair & Maintenance - Housing - Private,745
2012,June,Repair & Maintenance - Housing - Public,1389
2012,June,Repair & Maintenance - Housing - Total,2134
2012,June,Repair and Maintenance - Non Housing R&M,2130
2012,June,All Repair and Maintenance,4264
2012,June,All Work,11024
2012,July,New Housing - Public,394
2012,July,New Housing - Private,1517
2012,July,Total Housing,1910
2012,July,Other New Work - Infrastructure,1239
2012,July,Other New Work - Excluding Infrastructure - Public,1022
2012,July,Other New Work - Excluding Infrastructure - Private Industrial,369
2012,July,Other New Work - Excluding Infrastructure - Private Commercial,2096
2012,July,All New Work,6636
2012,July,Repair & Maintenance - Housing - Private,773
2012,July,Repair & Maintenance - Housing - Public,1537
2012,July,Repair & Maintenance - Housing - Total,2309
2012,July,Repair and Maintenance - Non Housing R&M,2156
2012,July,All Repair and Maintenance,4465
2012,July,All Work,11101
2012,Aug,New Housing - Public,384
2012,Aug,New Housing - Private,1487
2012,Aug,Total Housing,1871
2012,Aug,Other New Work - Infrastructure,1438
2012,Aug,Other New Work - Excluding Infrastructure - Public,1019
2012,Aug,Other New Work - Excluding Infrastructure - Private Industrial,345
2012,Aug,Other New Work - Excluding Infrastructure - Private Commercial,2094
2012,Aug,All New Work,6766
2012,Aug,Repair & Maintenance - Housing - Private,760
